ipaddr_origin,idp_origin,ipaddr_resp,idp_resp,host
86.186.9.238,4697,38.52.15.151,80,api.line.me
1.140.158.125,4933,212.2.55.1,8000,www.instagram.com
152.24.42.32,1452,232.243.218.176,8080,cdn.discordapp.com
200.195.31.66,5706,129.20.221.169,8000,zoom.us
147.212.169.104,4758,203.224.64.24,8080,youtube.com
177.203.249.252,1331,180.191.180.153,80,medium.com
108.242.173.151,4181,47.254.240.143,80,facebook.com
245.149.93.158,2805,16.151.146.53,80,amazon.com
220.212.246.234,3257,50.195.48.89,80,youtube.com
213.194.69.100,5993,230.70.195.52,80,student.university.ac.th
250.76.134.145,4623,46.249.216.111,80,facebook.com
162.165.31.238,5923,249.240.50.185,80,teams.microsoft.com
58.17.51.120,6285,83.109.53.157,8000,teams.microsoft.com
188.66.236.198,3195,119.75.104.179,80,twitter.com
28.4.150.40,3235,141.54.189.149,80,medium.com
34.40.133.2,4771,48.205.50.172,80,facebook.com
127.90.1.60,6109,154.33.88.238,80,youtube.com
214.132.18.205,4384,92.65.172.120,80,twitter.com
60.64.213.189,2898,206.20.195.229,80,university.ac.th
212.171.142.43,2920,95.229.185.101,80,www.google.com
236.178.89.71,4420,216.67.17.201,80,stackoverflow.com
51.108.67.130,2406,253.245.161.68,80,teams.microsoft.com
208.115.153.37,4372,165.216.209.29,8000,api.line.me
177.77.111.114,1196,48.236.76.8,80,medium.com
224.205.23.32,3650,111.247.215.167,80,login.microsoftonline.com
214.18.33.64,6080,112.12.5.105,80,facebook.com
146.163.195.191,3471,139.179.191.31,80,medium.com
82.143.160.200,4637,47.188.63.92,80,www.google.com
252.9.42.240,1752,250.141.105.252,80,university.ac.th
78.119.184.48,3799,20.24.94.28,80,login.microsoftonline.com
158.121.191.91,4638,20.90.56.197,80,facebook.com
237.236.155.123,1677,198.137.90.45,8080,teams.microsoft.com
234.118.174.130,4041,52.236.49.234,8000,www.instagram.com
85.122.211.112,4138,131.80.67.112,80,student.university.ac.th
210.104.20.7,2544,64.167.65.33,80,www.google.com
218.196.198.98,5879,16.6.17.172,8000,google.com
14.36.177.0,5700,235.74.121.253,80,cdn.discordapp.com
213.132.161.96,6381,210.95.229.82,8000,api.line.me
202.9.255.191,3017,127.42.129.231,8000,university.ac.th
14.94.222.166,1255,100.82.212.33,8080,amazon.com
90.4.39.49,3443,72.113.187.189,80,www.instagram.com
60.61.143.128,2995,196.160.40.137,8000,google.com
135.62.192.172,4161,34.237.80.137,80,stackoverflow.com
243.152.129.59,2193,159.154.142.5,8000,zoom.us
250.81.162.237,4743,73.212.207.180,80,login.microsoftonline.com
18.204.118.2,2666,229.230.176.67,80,facebook.com
134.240.147.77,3709,209.79.238.60,80,facebook.com
179.145.56.217,1572,196.59.177.55,80,university.ac.th
132.127.255.103,2970,78.108.74.93,80,google.com
30.65.24.36,3236,94.76.123.247,80,youtube.com
2.127.226.184,4793,38.92.203.129,8000,stackoverflow.com
180.77.218.185,5380,72.148.0.78,8000,twitter.com
72.190.142.183,1273,133.232.215.213,8080,student.university.ac.th
123.48.54.146,1286,111.10.21.231,8000,www.instagram.com
118.245.22.52,2679,82.35.63.81,8000,university.ac.th
246.223.109.31,4032,127.30.11.86,80,university.ac.th
81.172.6.232,1436,253.115.66.213,80,facebook.com
59.174.220.85,1675,117.139.121.127,80,medium.com
157.222.66.253,5477,152.40.35.245,80,login.microsoftonline.com
195.220.229.185,4513,80.123.154.158,8000,google.com
228.141.104.126,2055,116.50.99.251,80,zoom.us
182.143.111.46,3642,99.205.123.81,8000,stackoverflow.com
234.217.191.119,4897,98.173.146.165,80,amazon.com
210.238.75.76,4226,36.105.169.50,80,youtube.com
65.193.4.251,1254,225.232.218.158,80,cdn.discordapp.com
188.19.232.81,6421,74.23.138.161,80,teams.microsoft.com
106.207.235.155,2225,202.228.156.178,8000,student.university.ac.th
49.30.30.97,5149,45.3.230.104,8000,login.microsoftonline.com
109.247.197.194,2075,241.112.237.150,80,zoom.us
41.81.173.62,6444,109.222.194.71,8080,zoom.us
179.254.152.85,1941,138.179.219.116,80,api.line.me
143.115.51.191,6403,132.158.142.11,80,google.com
139.131.169.73,6401,121.104.190.15,8000,medium.com
190.45.94.110,5963,110.167.181.221,8000,facebook.com
94.168.36.36,5643,81.242.25.231,80,university.ac.th
137.240.44.210,1160,197.222.219.128,80,medium.com
0.216.248.16,3231,83.94.80.181,80,zoom.us
39.130.154.110,4552,16.21.14.246,8000,university.ac.th
96.44.53.205,5144,124.158.140.39,8080,google.com
172.139.197.122,1298,109.120.3.107,80,zoom.us
60.172.186.207,4938,21.81.194.85,8000,google.com
4.247.195.227,4325,87.34.238.81,80,university.ac.th
79.160.89.13,6038,242.176.50.32,80,www.instagram.com
144.42.241.37,6227,54.189.82.247,80,www.google.com
93.139.124.195,1190,191.206.107.229,80,twitter.com
64.234.6.152,2128,87.17.102.16,80,stackoverflow.com
121.75.140.42,3919,211.167.13.205,80,facebook.com
136.178.8.173,5153,97.39.226.119,80,stackoverflow.com
168.39.205.106,2461,101.89.63.82,8080,teams.microsoft.com
3.44.197.15,2982,60.145.136.220,8000,api.line.me
189.164.22.210,3251,206.170.222.119,80,student.university.ac.th
126.61.91.197,6274,109.160.225.183,8000,login.microsoftonline.com
43.20.57.74,6361,101.22.242.154,8000,stackoverflow.com
135.224.1.52,4642,234.18.81.12,80,cdn.discordapp.com
83.68.140.248,1917,74.181.8.109,80,api.line.me
185.99.139.58,4255,213.166.10.173,80,teams.microsoft.com
199.151.192.164,5292,168.221.218.0,8080,university.ac.th
175.163.108.8,1763,17.172.131.10,80,medium.com
214.118.251.162,4877,173.130.238.159,80,www.google.com
196.62.25.207,4503,106.255.230.72,80,login.microsoftonline.com
47.18.180.113,4114,31.22.228.50,80,amazon.com
29.144.111.249,6408,176.91.46.245,8000,www.google.com
70.155.86.144,4484,87.194.214.117,80,login.microsoftonline.com
98.145.84.193,5260,138.111.163.249,80,facebook.com
49.232.164.169,5904,18.218.28.5,8000,www.instagram.com
97.240.56.109,3639,122.117.127.83,8000,university.ac.th
74.106.132.128,5660,57.149.4.179,80,www.google.com
69.255.199.224,6444,223.97.99.103,80,facebook.com
27.15.118.235,4103,199.63.108.141,80,login.microsoftonline.com
37.185.191.233,5541,222.14.52.105,8080,www.instagram.com
67.88.51.78,5145,223.20.4.36,80,google.com
141.2.172.215,4728,80.146.55.177,80,twitter.com
229.6.54.21,6012,90.6.85.206,80,facebook.com
99.52.62.130,5726,162.99.224.13,8080,cdn.discordapp.com
126.41.194.221,4952,248.181.92.209,80,api.line.me
210.132.57.12,1732,69.201.187.164,80,teams.microsoft.com
124.31.148.13,3800,125.13.172.170,8000,teams.microsoft.com
8.21.177.103,3506,179.26.217.253,80,student.university.ac.th
171.184.124.245,1285,128.204.188.190,80,stackoverflow.com
183.111.57.53,4652,44.34.111.189,80,amazon.com
192.9.112.131,6299,149.86.208.145,80,medium.com
154.140.127.10,4589,104.193.79.148,80,stackoverflow.com
156.87.93.152,3086,138.92.91.59,80,www.google.com
237.189.78.143,6194,138.112.251.206,80,university.ac.th
97.188.221.184,3394,24.59.147.31,80,login.microsoftonline.com
221.26.0.170,4855,239.178.209.232,80,cdn.discordapp.com
191.235.206.70,3178,243.120.202.176,8080,login.microsoftonline.com
33.149.81.113,4827,57.39.60.56,80,twitter.com
134.7.42.154,3415,191.198.145.130,80,google.com
218.99.203.216,2071,251.150.194.106,80,www.instagram.com
76.117.0.10,2551,137.125.231.148,80,login.microsoftonline.com
96.178.154.100,5726,102.90.2.67,80,facebook.com
84.14.38.12,2479,209.108.48.130,8000,twitter.com
27.146.9.68,2482,181.71.43.157,80,facebook.com
24.191.46.8,1280,95.79.33.113,80,google.com
171.103.43.135,5390,86.130.219.231,80,teams.microsoft.com
56.176.0.38,1592,235.142.169.123,80,youtube.com
75.241.172.140,5355,14.202.2.2,8080,www.google.com
57.228.118.221,2050,161.111.207.23,8000,api.line.me
252.56.19.200,5618,107.20.182.23,80,twitter.com
47.56.204.210,1038,235.96.135.196,80,api.line.me
173.69.143.191,1400,39.237.127.233,8080,medium.com
222.233.223.234,4295,243.104.122.124,80,facebook.com
89.210.99.103,2230,126.143.175.5,80,stackoverflow.com
95.210.153.117,5423,184.56.122.118,80,teams.microsoft.com
94.116.191.20,6101,207.182.169.121,8000,youtube.com
146.104.146.253,6162,85.238.186.137,8000,student.university.ac.th
102.73.19.173,6378,21.101.161.231,8080,youtube.com
94.140.180.161,1878,243.31.225.190,8000,cdn.discordapp.com
107.249.152.247,5487,144.46.139.122,80,amazon.com
38.173.223.185,4257,96.239.6.117,80,stackoverflow.com
156.122.217.179,2935,71.219.217.206,8000,youtube.com
202.63.138.105,5037,127.69.157.193,8000,university.ac.th
205.64.36.234,1650,248.221.152.193,8000,www.google.com
194.255.222.213,3242,173.101.59.4,80,stackoverflow.com
73.8.203.14,4498,228.222.139.96,80,youtube.com
247.149.65.178,3749,56.71.93.142,80,www.google.com
101.6.13.230,5242,31.254.81.103,80,twitter.com
62.49.138.187,3242,129.97.145.78,80,teams.microsoft.com
215.90.182.167,3914,60.197.205.190,8080,cdn.discordapp.com
112.228.220.214,2575,54.234.56.217,80,cdn.discordapp.com
6.115.166.52,2146,97.242.63.66,80,www.instagram.com
194.217.33.254,5409,129.58.253.247,80,www.instagram.com
163.100.122.72,3112,243.99.161.32,80,facebook.com
90.165.68.40,1476,33.138.90.126,8000,university.ac.th
164.150.50.108,6214,243.115.52.54,80,google.com
36.248.121.72,3113,114.228.157.166,8080,student.university.ac.th
164.240.32.152,4441,245.9.190.17,80,www.instagram.com
141.238.32.164,2825,52.113.123.69,80,zoom.us
46.170.98.31,1667,159.214.12.106,80,amazon.com
255.172.132.56,2849,97.86.250.225,80,stackoverflow.com
29.162.220.75,1147,115.232.167.185,80,twitter.com
165.80.60.16,5944,133.116.8.147,8000,api.line.me
196.174.47.179,3672,136.139.217.100,80,youtube.com
9.189.220.115,2955,109.25.42.82,8000,www.google.com
16.183.186.206,3471,105.145.53.164,8000,google.com
152.200.188.9,4224,145.241.120.42,80,stackoverflow.com
125.217.37.109,6261,54.67.255.62,8000,zoom.us
97.220.87.234,2953,204.154.31.36,8000,zoom.us
25.137.14.128,3458,41.45.198.198,80,google.com
174.49.5.67,2574,119.143.77.146,8000,stackoverflow.com
203.71.149.197,3937,97.245.179.74,80,zoom.us
172.135.35.149,3887,129.233.95.156,80,stackoverflow.com
161.73.64.51,3112,66.120.158.253,80,cdn.discordapp.com
140.136.122.189,6270,205.111.193.145,80,university.ac.th
111.78.123.70,5910,187.29.205.197,8080,google.com
14.47.187.137,5759,236.210.95.238,80,student.university.ac.th
5.27.221.136,3077,97.197.52.211,8000,www.instagram.com
174.35.2.226,1839,255.136.206.127,80,zoom.us
11.123.18.118,5828,55.153.16.81,8000,student.university.ac.th
157.95.249.81,4149,213.207.135.240,80,university.ac.th
39.182.188.143,1750,54.209.253.129,80,google.com
109.127.212.150,2425,120.254.96.145,8080,facebook.com
92.112.67.40,3923,118.170.146.123,80,www.instagram.com
198.247.220.45,6141,243.145.150.96,8000,zoom.us
13.185.125.5,6448,38.135.95.250,80,google.com
133.16.81.219,4866,165.154.123.21,80,www.google.com
159.233.130.162,4891,103.150.131.87,80,facebook.com
199.178.165.253,5004,156.170.252.137,8000,www.google.com
8.113.4.57,6300,133.152.21.14,80,university.ac.th
239.109.84.137,6142,25.229.222.169,8000,facebook.com
173.184.121.160,3226,158.125.232.84,80,youtube.com
123.179.199.85,3695,242.245.200.62,80,youtube.com
152.80.180.180,4324,109.114.70.64,80,login.microsoftonline.com
194.23.65.241,4772,254.13.170.80,8080,www.instagram.com
162.178.93.215,1018,1.246.198.70,80,facebook.com
245.131.89.239,5458,22.207.28.16,80,amazon.com
204.180.156.40,3986,122.164.225.80,80,login.microsoftonline.com
90.37.172.24,1692,253.227.196.191,80,www.instagram.com
205.175.59.211,5487,133.204.126.231,8000,cdn.discordapp.com
3.156.21.29,2128,71.247.248.145,80,google.com
228.45.196.115,4970,130.39.176.105,80,medium.com
57.106.133.151,3065,253.87.145.44,8000,stackoverflow.com
68.238.14.64,3666,165.84.97.77,8080,cdn.discordapp.com
220.145.215.22,1462,126.149.236.48,8000,teams.microsoft.com
158.154.207.75,2201,4.235.9.79,80,www.google.com
121.14.126.148,3966,241.64.135.220,80,medium.com
10.48.45.28,1555,249.192.108.111,80,stackoverflow.com
85.90.7.119,4985,192.235.249.27,80,teams.microsoft.com
184.221.84.114,5898,7.64.237.177,80,www.instagram.com
224.18.26.62,2979,154.71.163.246,80,cdn.discordapp.com
16.155.248.132,2933,171.234.181.203,80,stackoverflow.com
135.9.7.19,6129,212.210.142.2,8000,stackoverflow.com
95.84.172.20,4962,147.87.240.6,80,facebook.com
105.92.6.3,4493,65.36.55.66,8000,medium.com
66.208.199.133,2888,139.218.222.57,8000,teams.microsoft.com
159.141.12.202,3433,123.12.184.204,8000,university.ac.th
208.223.60.113,4426,204.50.134.86,8080,cdn.discordapp.com
196.214.173.145,4029,88.30.83.242,80,youtube.com
51.208.210.145,4946,199.122.237.54,80,student.university.ac.th
109.91.64.31,5764,131.129.89.182,8000,stackoverflow.com
54.151.255.141,5409,125.78.54.118,80,university.ac.th
157.202.162.95,1630,241.165.119.141,8080,cdn.discordapp.com
182.241.164.231,2551,134.102.227.164,80,api.line.me
0.220.214.131,1587,247.45.162.6,80,cdn.discordapp.com
133.83.175.27,4747,94.230.244.85,80,www.google.com
131.110.71.96,2848,12.86.59.227,80,login.microsoftonline.com
18.163.147.51,5303,55.11.254.253,80,google.com
144.123.93.234,6446,29.239.33.99,80,stackoverflow.com
60.97.106.84,4601,166.100.147.242,80,facebook.com
204.36.7.8,5995,85.162.123.22,80,stackoverflow.com
19.203.57.236,1223,130.30.195.20,80,amazon.com
50.194.237.238,2655,46.135.145.234,8080,youtube.com
111.115.160.76,1180,105.110.216.226,80,facebook.com
166.228.218.109,2553,197.232.133.46,80,zoom.us
186.111.232.82,5698,9.149.237.91,80,amazon.com
100.238.240.23,1578,207.197.151.101,80,facebook.com
115.181.218.107,6359,206.63.26.179,8000,api.line.me
222.253.214.126,4958,186.33.14.160,80,stackoverflow.com
14.94.161.35,5558,131.71.74.105,8000,facebook.com
139.42.255.22,2618,61.126.242.122,80,student.university.ac.th
73.3.182.69,6176,53.162.196.38,8000,youtube.com
148.114.186.75,3872,207.1.26.5,80,teams.microsoft.com
16.52.47.230,4786,48.155.56.118,80,zoom.us
85.60.119.200,6322,117.160.43.167,80,stackoverflow.com
223.113.252.14,4572,40.27.251.70,80,login.microsoftonline.com
56.112.51.171,4374,155.7.83.34,80,teams.microsoft.com
171.202.11.168,3006,58.191.5.81,8080,medium.com
114.188.8.15,2176,27.96.129.136,80,stackoverflow.com
178.224.80.16,4074,214.9.40.25,8080,medium.com
102.19.29.249,1388,47.239.247.232,80,cdn.discordapp.com
157.77.76.179,4273,60.67.243.138,8000,cdn.discordapp.com
248.166.208.4,5072,65.126.132.160,80,student.university.ac.th
181.246.81.41,6455,112.100.77.105,80,stackoverflow.com
146.125.233.238,4531,238.31.200.82,80,stackoverflow.com
93.147.210.237,4441,129.53.161.213,80,facebook.com
226.95.145.212,3488,57.82.121.228,80,teams.microsoft.com
202.120.207.134,3163,84.150.68.230,80,youtube.com
40.186.122.21,6052,2.253.44.253,80,google.com
11.1.1.54,1187,149.58.19.176,80,university.ac.th
75.28.83.98,1111,177.248.189.159,80,student.university.ac.th
3.189.196.126,3874,163.219.85.154,8000,www.instagram.com
7.10.224.32,4522,28.155.39.125,8000,stackoverflow.com
30.38.42.103,1077,254.252.217.102,80,login.microsoftonline.com
126.241.233.205,4609,0.38.236.1,8080,student.university.ac.th
50.88.31.136,4874,94.173.159.127,80,amazon.com
250.141.140.237,1428,138.236.192.180,80,login.microsoftonline.com
38.106.41.33,2019,78.200.94.105,80,www.instagram.com
218.224.195.55,1545,244.87.161.76,8000,login.microsoftonline.com
103.245.9.130,3735,115.110.141.185,8080,www.google.com
20.242.215.150,5534,113.98.27.7,80,api.line.me
15.40.180.168,2325,98.11.204.17,80,medium.com
149.106.220.2,1516,25.63.202.148,80,login.microsoftonline.com
112.55.175.225,4435,150.44.178.237,80,www.instagram.com
78.60.77.208,3337,173.231.31.75,80,cdn.discordapp.com
198.142.155.9,3898,128.154.188.180,8000,teams.microsoft.com
216.107.76.175,1190,153.65.131.65,80,university.ac.th
71.89.189.207,2304,251.248.124.88,80,medium.com
22.172.174.126,4194,221.224.25.59,80,university.ac.th
163.6.172.116,3643,242.177.78.106,8080,stackoverflow.com
198.19.118.154,4814,203.205.223.221,8000,stackoverflow.com
94.51.34.71,4781,27.53.231.221,8000,www.instagram.com
154.0.2.87,4429,217.60.14.158,80,student.university.ac.th
13.79.230.245,1916,116.203.21.18,80,amazon.com
240.177.97.178,3671,37.47.8.99,8080,facebook.com
151.97.133.72,6251,223.168.143.175,80,youtube.com
103.89.2.162,4127,201.49.22.218,8000,google.com
31.95.177.105,2123,98.109.49.181,80,student.university.ac.th
62.148.233.187,5851,166.172.137.179,80,zoom.us
78.190.2.115,3526,117.195.29.235,80,student.university.ac.th
230.27.38.84,1823,235.150.180.183,80,login.microsoftonline.com
69.146.115.141,5533,220.57.195.144,8000,www.instagram.com
42.20.22.251,3834,121.50.76.82,80,university.ac.th
148.91.70.240,5420,230.224.34.162,80,login.microsoftonline.com
218.26.228.58,6378,231.109.190.14,8000,youtube.com
97.226.214.34,5873,222.18.164.174,80,cdn.discordapp.com
146.187.213.189,5583,36.168.197.155,80,facebook.com
221.104.58.26,5514,7.200.45.139,80,google.com
121.179.219.59,2035,133.175.6.116,8000,twitter.com
184.157.231.2,5981,63.224.21.218,8080,login.microsoftonline.com
47.189.173.243,3569,122.22.14.203,80,twitter.com
102.92.145.30,1042,209.92.183.202,80,twitter.com
